,pm2.5,datum_od,o3,pm10,co,no2
0,21.0,2023-02-19 13:00:00,76.0,24.0,0.2,26.22096317280453
0,17.0,2023-02-19 14:00:00,74.0,20.0,0.2,7.0
0,17.0,2023-02-19 15:00:00,74.0,19.0,0.2,7.0
0,17.0,2023-02-19 16:00:00,72.0,19.0,0.2,9.0
0,18.0,2023-02-19 17:00:00,67.0,21.0,0.3,12.0
0,21.0,2023-02-19 18:00:00,59.0,23.0,0.3,19.0
0,26.0,2023-02-19 19:00:00,41.0,28.0,0.4,35.0
0,37.0,2023-02-19 20:00:00,6.0,40.0,0.7,72.0
0,40.0,2023-02-19 21:00:00,5.0,43.0,0.7,66.0
0,34.0,2023-02-19 22:00:00,16.0,36.0,0.5,46.0
0,38.0,2023-02-19 23:00:00,6.0,39.0,0.6,54.0
0,38.0,2023-02-20 00:00:00,10.0,39.0,0.6,40.0
0,35.0,2023-02-20 01:00:00,12.0,37.0,0.6,30.0
0,38.0,2023-02-20 02:00:00,6.0,40.0,0.6,30.0
0,37.0,2023-02-20 03:00:00,4.0,39.0,0.6,29.0
0,36.0,2023-02-20 04:00:00,2.0,37.0,0.6,32.0
0,33.0,2023-02-20 05:00:00,46.37114427860696,34.0,0.6,35.0
0,31.0,2023-02-20 06:00:00,1.0,32.0,0.7,37.0
0,36.0,2023-02-20 07:00:00,1.0,38.0,0.3841990555757355,42.0
0,39.0,2023-02-20 08:00:00,2.0,43.0,0.8,41.0
0,34.0,2023-02-20 09:00:00,6.0,37.0,0.5,39.0
0,37.0,2023-02-20 10:00:00,9.0,43.0,0.5,40.0
0,36.0,2023-02-20 11:00:00,15.0,45.0,0.5,43.0
0,32.0,2023-02-20 12:00:00,25.0,43.0,0.4,34.0
0,24.0,2023-02-20 13:00:00,48.0,34.0,0.3,26.22096317280453
0,24.457279962546817,2023-02-20 14:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-20 15:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-20 16:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
0,24.457279962546817,2023-02-20 17:00:00,46.37114427860696,29.09364970197157,0.3841990555757355,26.22096317280453
